Type,Flight,City,Date,Scheduled,Estimated,Aircraft,Fare Classes,Gate,Status
International Departures,427,MUMBAI,11.05.2026,23:20,23:20,32N,"Y39,Y40",B6,Delayed
International Departures,505,BEIJING,11.05.2026,23:30,23:30,789,"Y32,Y33",B2,Delayed
International Departures,281,ISTANBUL (Istanbul International Airport),12.05.2026,01:10,01:10,320,"Y29,Y30,Y31",B9,On schedule
International Departures,421,DELHI,12.05.2026,01:25,01:25,763,"Y35,Y36,Y37",B11,On schedule
International Departures,465,ISLAMABAD,12.05.2026,03:40,03:40,32N,,B9,On schedule
International Departures,9613,MOSCOW (Vnukovo),12.05.2026,05:40,05:40,32A,,B8,On schedule
International Departures,611,MOSCOW (Vnukovo),12.05.2026,06:30,06:30,32Q,,B9,On schedule
International Departures,101,NEW-YORK (JFK International Airport),12.05.2026,06:45,06:45,787,,B5,On schedule
International Departures,685,SOCHI,12.05.2026,07:05,07:05,32N,,B8,On schedule
International Departures,9657,UFA,12.05.2026,07:30,07:30,32A,,,On schedule
International Departures,271,ISTANBUL (Istanbul International Airport),12.05.2026,07:40,07:40,763,,,On schedule
International Departures,717,DUSHANBE,12.05.2026,08:00,08:00,32N,,,On schedule
International Departures,745,TBILISI,12.05.2026,08:05,08:05,320,,,On schedule
International Departures,603,MOSCOW (Domodedovo),12.05.2026,08:05,08:05,767,,,On schedule
International Departures,761,ALMATY,12.05.2026,08:15,08:15,320,,,On schedule
International Departures,633,ST. PETERSBURG,12.05.2026,08:30,08:30,763,,,On schedule
International Departures,9701,GROZNY,12.05.2026,08:50,08:50,32N,,,On schedule
International Departures,201,LONDON (Heathrow),12.05.2026,11:10,11:10,788,,,On schedule
International Departures,649,KAZAN,12.05.2026,12:05,12:05,32N,,,On schedule
International Departures,251,PARIS,12.05.2026,13:55,13:55,32Q,,,On schedule
International Departures,303,TEL AVIV,12.05.2026,15:15,15:15,320,,,On schedule
International Departures,777,BISHKEK,12.05.2026,15:20,15:20,32N,,,On schedule
International Departures,755,BAKU,12.05.2026,15:50,15:50,320,,,On schedule
International Departures,273,ISTANBUL (Istanbul International Airport),12.05.2026,16:50,16:50,789,,,On schedule
International Departures,507,URUMQI,12.05.2026,17:15,17:15,320,,,On schedule
International Departures,613,MOSCOW (Vnukovo),12.05.2026,17:45,17:45,32Q,,,On schedule
International Departures,9661,EKATERINBURG,12.05.2026,18:00,18:00,32A,,,On schedule
International Departures,9671,NIZHNIY NOVGOROD,12.05.2026,18:10,18:10,32N,,,On schedule
International Departures,721,ASTANA,12.05.2026,19:00,19:00,320,,,On schedule
International Departures,601,MOSCOW (Domodedovo),12.05.2026,19:20,19:20,763,,,On schedule
International Departures,765,ALMATY,12.05.2026,20:40,20:40,32N,,,On schedule
International Departures,511,SEOUL,12.05.2026,22:25,22:25,788,,,On schedule
International Departures,535,PHUKET,13.05.2026,01:05,01:05,32Q,,,On schedule
International Departures,281,ISTANBUL (Istanbul International Airport),13.05.2026,01:10,01:10,32N,,,On schedule
International Departures,333,DUBAI,13.05.2026,07:15,07:15,788,,,On schedule
International Departures,271,ISTANBUL (Istanbul International Airport),13.05.2026,07:40,07:40,763,,,On schedule
International Departures,461,LAHORE,13.05.2026,07:40,07:40,32N,,,On schedule
International Departures,717,DUSHANBE,13.05.2026,08:00,08:00,32N,,,On schedule
International Departures,603,MOSCOW (Domodedovo),13.05.2026,08:05,08:05,763,,,On schedule
International Departures,761,ALMATY,13.05.2026,08:15,08:15,320,,,On schedule
International Departures,633,ST. PETERSBURG,13.05.2026,08:30,08:30,32Q,,,On schedule
International Departures,211,RIGA,13.05.2026,08:35,08:35,763,,,On schedule
International Departures,423,DELHI,13.05.2026,08:45,08:45,763,,,On schedule
International Departures,341,SHARM EL SHEIKH INTL,13.05.2026,09:15,09:15,32Q,,,On schedule
International Departures,533,BANGKOK,13.05.2026,13:20,13:20,763,,,On schedule
International Departures,255,MILAN,13.05.2026,15:10,15:10,788,,,On schedule
International Departures,777,BISHKEK,13.05.2026,15:20,15:20,320,,,On schedule
International Departures,273,ISTANBUL (Istanbul International Airport),13.05.2026,16:50,16:50,787,,,On schedule
International Departures,507,URUMQI,13.05.2026,17:40,17:40,320,,,On schedule
International Departures,613,MOSCOW (Vnukovo),13.05.2026,17:45,17:45,32Q,,,On schedule
International Departures,9683,KRASNOYARSK,13.05.2026,18:00,18:00,32N,,,On schedule
International Departures,631,ST. PETERSBURG,13.05.2026,18:40,18:40,32Q,,,On schedule
International Departures,721,ASTANA,13.05.2026,19:00,19:00,32N,,,On schedule
International Departures,645,MINERALNYE VODY,13.05.2026,19:00,19:00,32N,,,On schedule
International Departures,601,MOSCOW (Domodedovo),13.05.2026,19:20,19:20,763,,,On schedule
International Departures,667,NOVOSIBIRSK,13.05.2026,20:00,20:00,32N,,,On schedule
International Departures,765,ALMATY,13.05.2026,20:40,20:40,32N,,,On schedule
International Departures,513,SEOUL,13.05.2026,22:40,22:40,787,,,On schedule
International Departures,553,KUALA LUMPUR,13.05.2026,23:40,23:40,788,,,On schedule
International Arrivals,722,ASTANA,12.05.2026,00:00,00:00,320,,01,Arrived
International Arrivals,766,ALMATY,12.05.2026,00:50,00:50,320,,,On schedule
