Country,Cities,Addresses,Phones,Faxes,Emails,Full Info
Uzbekistan,Tashkent,"House 41, A.Temur Av., Tashkent,100060",(99878) 140-02-00,,,"Tashkent
Address: House 41, A.Temur Av., Tashkent,100060
Tel.: (99878) 140-02-00, 140-28-01/02/03/04
www.uzairways.com"
Azerbaijan,Baku,"H.Aslanov str.113, Baku",+994 12-493-01-40; +994 12-598-31-20,,bak@uzairways.com,"Baku
Address: H.Aslanov str.113, Baku
Phone: +994 12-493-01-40; +994 12-598-31-20
e-mail: bak@uzairways.com"
Georgia,Tbilisi,,+995-322-195-800,,tbs@uzairways.com,"Tbilisi
Ул. Марии Броссе, дом 2 , офис 19
Phone: +995-322-195-800
Email: tbs@uzairways.com"
Indonesia,Jakarta,,+62215205044,,,"Jakarta
Mega Plaza, 2-ой этаж, Suite B1
Jl. HR Rasuna Said, Kav. C3
Kuningan, Jakarta 12920
Phone: +62215205044"
China,"Beijing, Urumqi, Shanghai, Tianjin","Jian Guo Men Wai 19 Citic Building 201 B, 100004, Beijing; Room 298 International Hotel Xiyu","(86-10) 65-00-64-42
+86-10-8526-3212; (86) 991 763 12 14; +86-21-2066-9926; +86-22-2490-1976",(86-10) 65-25-38-67; (86) 991 259 70 40; +86-22-2490-1975,bjs@uzairways.com; urc@uzairways.com; sha@uzairways.com,"Beijing
Address: Jian Guo Men Wai 19 Citic Building 201 B, 100004, Beijing
Tel.: (86-10) 65-00-64-42
+86-10-8526-3212 Fax: (86-10) 65-25-38-67
e-mail: bjs@uzairways.com
Urumqi
Address: Room 298 International Hotel Xiyu
876 Dawan BEI LU, Urumqi xinjiang, China
Postcode: 830001 P.R.C.
Phone: (86) 991 763 12 14;
Fax: (86) 991 259 70 40
e-mail: urc@uzairways.com
Shanghai
Email: sha@uzairways.com
Phone: +86-21-2066-9926
Tianjin
Phone: +86-22-2490-1976
Факс +86-22-2490-1975"
Great Britain,London,,+44-020-7034-2090,+44-020-7371-1256,london@uzairways.co.uk; lon@uzairways.com,"London
13 Cambridge Court
210 Shepherds Bush Road
London, W6 7NJ
Phone: +44-020-7034-2090
FAX: +44-020-7371-1256
e-mail: london@uzairways.co.uk; lon@uzairways.com"
India,"Delhi, Mumbai","Rooms #108, 109, 110, 1-st floor, Narain Manzil Building, 23 Barakhamba Road, New Delhi 110001; 004, Midas, Sahar Plaza, Andheri Kurla Road, Andheri East, Mumbai 400059",+91 11 45058458; 022 4971 0208,,del@uzairways.com; sale.india@uzairways.com; sales.uz@ajantgroupindia.com; res.uz@ajantagroupindia.com,"Delhi
Address: Rooms #108, 109, 110, 1-st floor, Narain Manzil Building, 23 Barakhamba Road, New Delhi 110001
e-mail: del@uzairways.com; 
Tel.:+91 11 45058458
For questions related to purchasing and rebooking airline tickets, please contact: 112, Bhagat Singh Market, Connaught Place, New Delhi 110001.
Тел: +91-11-41506400; +91-9354539179
Booking airline tickets: sale.india@uzairways.com 
Mumbai
Address: 004, Midas, Sahar Plaza, Andheri Kurla Road, Andheri East, Mumbai 400059
e-mail: (For reservations): (Sales): sales.uz@ajantgroupindia.com
(Reservation) : res.uz@ajantagroupindia.com
Tel:  022 4971 0208"
Spain,Madrid,Summerwind; Jorge Juan 68 1D,+34 910 785 597; 91 401 57 01,,Uzbekistanairways@swgsa.com; rom@uzairways.com; Uzbekistanairways@airlinesairmat.com; Mayte@airlinesairmat.com,"Madrid
Address: Summerwind
e-mail: Uzbekistanairways@swgsa.com; rom@uzairways.com
Tel.:+34 910 785 597

Air Travel Management
Address: Jorge Juan 68 1D
Phone: 91 401 57 01
Email: reservas2airlinesairmat.com
Uzbekistanairways@airlinesairmat.com
Mayte@airlinesairmat.com"
Italy,"Milan, Rome","Via Marsala 36B, 21013, Gallarate (VA); Via Clisio 4, 00199, Rome, Italy",+39 03311086402; +39 03311086402,,rom@uzairways.com; rom@uzairways.com,"Milan
Address: Via Marsala 36B, 21013, Gallarate (VA)
e-mail: rom@uzairways.com
Tel.:+39 03311086402
Rome
Address: Via Clisio 4, 00199, Rome, Italy
e-mail: rom@uzairways.com
Tel.:+39 03311086402"
Israel,Tel-Aviv,"Migdalor Building1, Ben Yehuda, Tel-Aviv, 63801",(972-3) 510-46-85,,tlv@uzairways.com; uzairways@bezeqint.net,"Tel-Aviv
Address: Migdalor Building1, Ben Yehuda, Tel-Aviv, 63801
Tel.: (972-3) 510-46-85, 510-75-46
e-mail: tlv@uzairways.com; uzairways@bezeqint.net"
